Unique_ID,Similarity_Score
0,0.46072259545326233
1,0.46552225947380066
2,0.45852890610694885
3,0.6708908677101135
4,0.6461286544799805
5,0.5381676554679871
6,0.37826353311538696
7,0.6752075552940369
8,0.5734446048736572
9,0.6081649661064148
10,0.41869261860847473
11,0.501824140548706
12,0.4290122389793396
13,0.6678004264831543
14,0.5675557851791382
15,0.5905663371086121
16,0.48118463158607483
17,0.35845544934272766
18,0.7348608374595642
19,0.5624173879623413
20,0.35259148478507996
21,0.4470710754394531
22,0.4059107005596161
23,0.36250388622283936
24,0.4418395161628723
25,0.5430176854133606
26,0.5469427704811096
27,0.6719380617141724
28,0.5179707407951355
29,0.4838297367095947
30,0.35515040159225464
31,0.25932925939559937
32,0.6428327560424805
33,0.5633862614631653
34,0.4018133878707886
35,0.49482396245002747
36,0.5883812308311462
37,0.5341231226921082
38,0.3687055706977844
39,0.5218180418014526
40,0.49497050046920776
41,0.559194028377533
42,0.33993878960609436
43,0.5903993844985962
44,0.49169161915779114
45,0.6383314728736877
46,0.4127887487411499
47,0.3978561758995056
48,0.5263546109199524
49,0.37272462248802185
50,0.5582869648933411
51,0.31641334295272827
52,0.29516205191612244
53,0.39884036779403687
54,0.6480137705802917
55,0.5475595593452454
56,0.46900323033332825
57,0.4260392487049103
58,0.5697021484375
59,0.3964347541332245
60,0.4660590589046478
61,0.5757192373275757
62,0.47745481133461
63,0.3953326344490051
64,0.344956636428833
65,0.34590187668800354
66,0.49269402027130127
67,0.39099231362342834
68,0.6039204597473145
69,0.5800197720527649
70,0.4900675415992737
71,0.45397475361824036
72,0.36683011054992676
73,0.5690667629241943
74,0.39459970593452454
75,0.3048469126224518
76,0.45353609323501587
77,0.5356515049934387
78,0.5616517066955566
79,0.3961770236492157
80,0.4658485949039459
81,0.44389480352401733
82,0.5397734642028809
83,0.45881685614585876
84,0.21276716887950897
85,0.45025569200515747
86,0.4687385559082031
87,0.5893194675445557
88,0.529741644859314
89,0.6028167605400085
90,0.49690815806388855
91,0.38749220967292786
92,0.46901383996009827
93,0.5161925554275513
94,0.5866565108299255
95,0.3656754195690155
96,0.4082748293876648
97,0.23762045800685883
98,0.34199759364128113
99,0.4172880947589874
100,0.38845857977867126
101,0.2849263548851013
102,0.4635239839553833
103,0.5780155658721924
104,0.5699758529663086
105,0.3724323511123657
106,0.38695189356803894
107,0.2832934260368347
108,0.2723618149757385
109,0.43065115809440613
110,0.49282363057136536
111,0.37656083703041077
112,0.5126914381980896
113,0.42502349615097046
114,0.4467233121395111
115,0.622707724571228
116,0.5161486864089966
117,0.22252494096755981
118,0.39844226837158203
119,0.4847806692123413
120,0.48813146352767944
121,0.5103054046630859
122,0.6599656939506531
123,0.5063890218734741
124,0.42638540267944336
125,0.4740064740180969
126,0.528091311454773
127,0.4528260827064514
128,0.5240215063095093
129,0.352338969707489
130,0.28483858704566956
131,0.4508250057697296
132,0.5942615270614624
133,0.2910943627357483
134,0.3543739914894104
135,0.6633996963500977
136,0.45591846108436584
137,0.2851541340351105
138,0.560816764831543
139,0.4434889256954193
140,0.3751171827316284
141,0.6407537460327148
142,0.3394470810890198
143,0.3895147442817688
144,0.5537102818489075
145,0.46861162781715393
146,0.6150432229042053
147,0.4243961274623871
148,0.5487931966781616
149,0.4454382658004761
150,0.5194003582000732
151,0.2915327250957489
152,0.4549863934516907
153,0.4482918381690979
154,0.42887693643569946
155,0.5294896960258484
156,0.4942452311515808
157,0.4773556888103485
158,0.4127696454524994
159,0.7351115942001343
160,0.34901538491249084
161,0.6303005218505859
162,0.3992390036582947
163,0.5260908007621765
